Name,Profile,Tier,Gold,Silver,Bronze,Points
DungNB,https://www.kaggle.com/nguyenbadung,master,2,10,4,31867
Michael Jahrer,https://www.kaggle.com/mjahrer,grandmaster,16,11,3,31709
monsaraida,https://www.kaggle.com/monsaraida,expert,1,1,2,31547
Darragh,https://www.kaggle.com/darraghdog,grandmaster,11,10,1,31500
Wenjing Zhang,https://www.kaggle.com/nywenjing,expert,1,1,0,31248
Antonio Marin,https://www.kaggle.com/amezet,expert,0,5,7,31208
<^..^>,https://www.kaggle.com/brightertiger,master,2,11,3,31148
avsanjay,https://www.kaggle.com/avsanjay,master,1,4,1,31061
Pietro Marinelli,https://www.kaggle.com/pietromarinelli,expert,0,14,18,30928
huiqin,https://www.kaggle.com/qinhui1999,master,4,7,9,30914
Komaki,https://www.kaggle.com/ckomaki,grandmaster,5,7,3,30816
weiwei,https://www.kaggle.com/shixw125,grandmaster,9,6,4,30725
Shai,https://www.kaggle.com/sgalib,grandmaster,5,9,2,30683
Ilya Kibardin,https://www.kaggle.com/ikibardin,grandmaster,5,7,1,30630
yuval reina,https://www.kaggle.com/yuval6967,grandmaster,5,2,0,30606
sakami,https://www.kaggle.com/sakami,master,2,2,0,30526
x0x0w1,https://www.kaggle.com/x0x0w1,master,2,17,3,30413
Kun Hao Yeh,https://www.kaggle.com/khyeh0719,master,5,8,1,30128
Vladimir Larin,https://www.kaggle.com/vlarine,master,2,10,19,29718
Jie Wu,https://www.kaggle.com/lftuwujie,master,3,10,6,29608
,https://www.kaggle.com/hengck23,master,4,8,2,29591
ivovkanych,https://www.kaggle.com/ivovkanych,master,3,0,0,29503
hoxosh,https://www.kaggle.com/cashfeg,master,3,18,6,29494
Bo,https://www.kaggle.com/boliu0,grandmaster,7,3,3,29374
Alexander Larko,https://www.kaggle.com/alexxanderlarko,grandmaster,13,28,33,28942
Takuya Akiyama,https://www.kaggle.com/mtfall,master,2,10,1,28790
R Guo,https://www.kaggle.com/rguo97,master,2,2,1,28788
To Train Them Is My Cause,https://www.kaggle.com/rhgrossm,master,3,14,3,28754
Miha Skalic,https://www.kaggle.com/mihaskalic,master,5,5,1,28689
Kirderf,https://www.kaggle.com/kirderf,expert,0,0,3,28688
Sandeep Attree,https://www.kaggle.com/sattree,expert,2,0,1,28481
Lawrence Chernin,https://www.kaggle.com/lawrencechernin,expert,0,4,15,28435
nagiss,https://www.kaggle.com/nagiss,master,2,4,0,28355
Camaro,https://www.kaggle.com/bamps53,master,2,5,1,28158
Lindada,https://www.kaggle.com/a763337092,master,2,9,3,28145
Kage_Yonko,https://www.kaggle.com/projdev,expert,0,4,5,28125
OsciiArt,https://www.kaggle.com/osciiart,master,1,7,2,28075
Serigne,https://www.kaggle.com/serigne,master,2,11,5,27971
TeraFlops,https://www.kaggle.com/sekrier,expert,0,6,11,27961
Zoltan,https://www.kaggle.com/szabo7zoltan,master,1,3,2,27901
Zidmie,https://www.kaggle.com/zidmie,master,5,3,1,27846
Morphy,https://www.kaggle.com/murphy89,master,3,5,3,27786
Igor Krashenyi,https://www.kaggle.com/igorkrashenyi,master,3,11,5,27630
chicm,https://www.kaggle.com/idv2005,master,3,8,9,27492
Niranjan Nakkala,https://www.kaggle.com/niranjanmudhiraj,expert,0,1,8,27434
Draconda,https://www.kaggle.com/ryunosukeishizaki,master,3,5,1,27307
Nima Shahbazi,https://www.kaggle.com/nimashahbazi,grandmaster,9,9,0,27161
jacobkie,https://www.kaggle.com/jacobkie,master,4,4,1,27074
flowlight,https://www.kaggle.com/flowlight,master,3,5,1,26954
Y.Nakama,https://www.kaggle.com/yasufuminakama,master,3,5,1,26937
eagle4,https://www.kaggle.com/chabir,master,1,6,5,26786
Jhui He,https://www.kaggle.com/hesene,master,4,2,0,26667
Sugawarya,https://www.kaggle.com/sugawarya,master,3,8,2,26535
m.y.,https://www.kaggle.com/futureboykid,master,1,2,0,26519
guang.ster,https://www.kaggle.com/guangweiyu,master,4,1,1,26402
Daniel FG,https://www.kaggle.com/danielfg,grandmaster,9,11,5,26321
jleecook,https://www.kaggle.com/jleecook,expert,1,1,2,26255
olivier,https://www.kaggle.com/ogrellier,master,2,8,5,26250
mhiro2,https://www.kaggle.com/mhiro2,master,3,5,2,26244
Shize Su,https://www.kaggle.com/sushize,grandmaster,17,20,7,26089
Janos,https://www.kaggle.com/janosk21,expert,0,8,21,26028
tereka,https://www.kaggle.com/tereka,master,2,16,4,25927
bird,https://www.kaggle.com/whitebird,grandmaster,5,9,0,25894
narsil,https://www.kaggle.com/narsil,master,3,8,0,25757
e-toppo,https://www.kaggle.com/masatomatsui,master,2,5,3,25719
