Name,Profile,Tier,Gold,Silver,Bronze,Points
Daisuke Ishii,https://www.kaggle.com/daiearth22,expert,0,0,4,15
Andrea Garritano,https://www.kaggle.com/andreagarritano,expert,0,0,3,15
Semih Arıcan,https://www.kaggle.com/smhrcn,expert,0,0,3,14
Rafay,https://www.kaggle.com/rafay12,expert,0,0,3,14
Jigyashu Suraj,https://www.kaggle.com/jigyashusuraj,expert,0,0,3,14
Icaro Freire,https://www.kaggle.com/icarofreire,expert,0,0,3,14
Nicholle @ Datafiniti,https://www.kaggle.com/datafinitinicholle,expert,0,0,3,13
Harshit Kapoor,https://www.kaggle.com/hkapoor,expert,0,0,3,13
Artificial Intelligence inIT,https://www.kaggle.com/initagon,expert,0,0,4,13
Alexsumt,https://www.kaggle.com/alexsumt,expert,0,0,3,12
Sanskruti Panda,https://www.kaggle.com/sanskrutipanda,expert,0,0,3,12
Brian Roach,https://www.kaggle.com/broach,expert,0,1,2,11
Jose Berengueres,https://www.kaggle.com/harriken,expert,0,0,3,10
freeCodeCamp,https://www.kaggle.com/fccuser,expert,0,1,2,7
