Name,Profile,Tier,Gold,Silver,Bronze,Points
Aditya Keshri,https://www.kaggle.com/adikeshri,expert,0,0,11,70
Naresh bhat,https://www.kaggle.com/nareshbhat,expert,0,0,6,70
Robert Burbidge,https://www.kaggle.com/robertburbidge,expert,0,1,7,69
Omri Goldstein,https://www.kaggle.com/drgilermo,expert,1,1,29,69
Liao,https://www.kaggle.com/alexanderliao,expert,1,1,8,69
hongy,https://www.kaggle.com/hooong,expert,0,2,3,69
Dinesh Kumar Talaicha,https://www.kaggle.com/dktalaicha,expert,0,1,6,69
steubk,https://www.kaggle.com/steubk,expert,0,3,6,68
MuonNeutrino,https://www.kaggle.com/muonneutrino,expert,2,1,2,68
Mhamed Jabri,https://www.kaggle.com/mhajabri,expert,2,3,0,68
Rajesh kumar jha,https://www.kaggle.com/rajeshjnv,expert,0,4,1,68
Mahmud Hasan,https://www.kaggle.com/mahmudds,expert,0,0,5,68
john willson,https://www.kaggle.com/johnwill225,expert,0,0,6,68
DtneSEffct,https://www.kaggle.com/binaicrai,expert,0,0,8,68
K.Amano,https://www.kaggle.com/amanooo,expert,0,1,5,68
Abu Noman Md. Sakib,https://www.kaggle.com/anmspro,expert,0,0,5,68
DoVan,https://www.kaggle.com/nhan1212,expert,0,0,5,68
Jack (Japan),https://www.kaggle.com/rsakata,expert,1,4,1,67
François,https://www.kaggle.com/francoisdubois,expert,0,2,11,67
Ryan Epp,https://www.kaggle.com/reppic,expert,1,2,2,67
Tyro,https://www.kaggle.com/rishabhdhiman,expert,0,0,6,67
Monika Panfil,https://www.kaggle.com/mpanfil,expert,0,2,5,67
G_R_S,https://www.kaggle.com/danoozy44,expert,0,0,7,67
Sergey Gladysh,https://www.kaggle.com/sgladysh,expert,0,0,8,67
J.Jones,https://www.kaggle.com/johnoliverjones,expert,0,1,5,66
James Shepherd,https://www.kaggle.com/shep312,expert,2,2,5,66
Dandelion,https://www.kaggle.com/hely333,expert,1,2,2,66
Maxime Lenormand,https://www.kaggle.com/maxlenormand,expert,0,1,4,66
Prateek,https://www.kaggle.com/prateekagnihotri,expert,0,1,5,66
BENUVARGHESEBENJAMIN,https://www.kaggle.com/benuvarghesebenjamin,expert,0,1,6,66
Mohammed Murtuza Labib,https://www.kaggle.com/mohammedmurtuzalabib,expert,0,2,3,66
Danielle Boccelli,https://www.kaggle.com/db102291,expert,0,0,6,65
Sudhir Kumar,https://www.kaggle.com/sudhirnl7,expert,0,3,12,65
Sani Kamal,https://www.kaggle.com/sanikamal,expert,0,0,8,65
Viraj Bagal,https://www.kaggle.com/virajbagal,expert,0,1,9,65
,https://www.kaggle.com/hengck23,expert,0,2,3,64
Matt Motoki,https://www.kaggle.com/mmotoki,expert,0,4,5,64
shishirranjan,https://www.kaggle.com/ranjoranjan,expert,1,1,4,64
rejasupotaro,https://www.kaggle.com/rejasupotaro,expert,2,0,3,64
jionie,https://www.kaggle.com/jionie,expert,0,2,6,64
Muhammet CAKMAK,https://www.kaggle.com/muhammetcakmak,expert,0,0,7,64
Kathakali Seth,https://www.kaggle.com/kathakaliseth,expert,0,4,1,63
Umesh,https://www.kaggle.com/umeshnarayanappa,expert,0,6,25,63
Robert Kwiatkowski,https://www.kaggle.com/datark1,expert,0,2,8,63
Mohit,https://www.kaggle.com/mohitsital,expert,0,0,6,62
Henrique Mello,https://www.kaggle.com/hrmello,expert,0,2,10,62
Data Liftoff,https://www.kaggle.com/morrisb,expert,1,1,5,62
hirune924,https://www.kaggle.com/hirune924,expert,0,3,2,62
Rishi,https://www.kaggle.com/littleraj30,expert,0,2,3,62
Harsh Kothari21,https://www.kaggle.com/harshkothari21,expert,0,1,4,62
Tony Y.,https://www.kaggle.com/tonyyy,expert,1,2,4,61
Qing Liu,https://www.kaggle.com/sunnymarkliu,expert,1,1,3,61
Wei Chun Chang,https://www.kaggle.com/justjun0321,expert,1,2,8,61
Masa,https://www.kaggle.com/sajikim,expert,0,1,4,61
