Name,Profile,Tier,Gold,Silver,Bronze,Points
Alberto Falletta,https://www.kaggle.com/albeffe,expert,1,10,156,216
Russ Wolfinger,https://www.kaggle.com/sasrdw,expert,13,28,111,215
Xie29,https://www.kaggle.com/xiejialun,expert,5,5,132,215
Maxime Lenormand,https://www.kaggle.com/maxlenormand,expert,5,3,110,214
Dmitrij Kozachuk,https://www.kaggle.com/koza4ukdmitrij,expert,8,6,50,213
Gajendra Saraswat,https://www.kaggle.com/sarques,expert,0,7,147,213
Mycroft Holmes,https://www.kaggle.com/stocks,expert,9,8,133,212
Mohammad Reza Ghari,https://www.kaggle.com/rezaghari,expert,4,4,112,212
Raghawendra Singh,https://www.kaggle.com/raghaw,expert,10,5,67,211
DtneSEffct,https://www.kaggle.com/binaicrai,expert,0,1,235,209
RNA,https://www.kaggle.com/bigironsphere,expert,8,12,138,207
Michael Jahrer,https://www.kaggle.com/mjahrer,expert,20,37,110,206
Kage_Yonko,https://www.kaggle.com/projdev,expert,1,13,168,205
Grzegorz Sionkowski,https://www.kaggle.com/sionek,expert,9,31,221,202
Kirderf,https://www.kaggle.com/kirderf,expert,3,4,95,201
Laevatein,https://www.kaggle.com/laevatein,expert,5,6,52,199
Neil Slater,https://www.kaggle.com/slobo777,expert,5,35,374,197
Dhananjay Raut,https://www.kaggle.com/dhananjay3,expert,7,6,60,196
Siavash,https://www.kaggle.com/siavrez,expert,5,6,119,196
spongebob,https://www.kaggle.com/baomengjiao,expert,15,10,89,195
Kurian Benoy,https://www.kaggle.com/kurianbenoy,expert,0,4,177,195
Ayush Goel,https://www.kaggle.com/yushg123,expert,1,3,136,194
Ian Catindig,https://www.kaggle.com/ian,expert,3,3,284,193
Manoj Prabhakar,https://www.kaggle.com/manojprabhaakr,expert,1,8,175,192
DiegoJohnson,https://www.kaggle.com/diegojohnson,expert,5,3,101,192
Evgeny Patekha,https://www.kaggle.com/johnpateha,expert,9,6,49,191
Bhushan Kapkar,https://www.kaggle.com/bpkapkar,expert,2,5,103,191
miguel perez,https://www.kaggle.com/miguelpm,expert,8,17,121,189
funkyboy,https://www.kaggle.com/super13579,expert,9,9,90,189
ragnar,https://www.kaggle.com/ragnar123,expert,3,10,98,189
Anshul Sharma,https://www.kaggle.com/anshuls235,expert,1,0,158,188
DanB,https://www.kaggle.com/dansbecker,expert,9,17,201,187
Jakub Czakon,https://www.kaggle.com/jakubczakon,expert,9,8,116,187
Vlado Boza,https://www.kaggle.com/usamec,expert,9,4,68,186
Ramesh Babu Gonegandla,https://www.kaggle.com/rameshbabugonegandla,expert,0,0,171,185
Iñaki,https://www.kaggle.com/jolasa,expert,6,21,112,184
Manraj Singh,https://www.kaggle.com/themonologue,expert,6,5,58,182
u++,https://www.kaggle.com/sishihara,expert,10,8,63,181
higepon,https://www.kaggle.com/higepon,expert,7,6,59,181
Dhruv,https://www.kaggle.com/dhruvagg,expert,1,1,116,181
Bulent Siyah,https://www.kaggle.com/bulentsiyah,expert,1,1,155,180
S D,https://www.kaggle.com/sdoria,expert,5,11,77,179
pocket,https://www.kaggle.com/pocketsuteado,expert,7,17,67,178
Solve for Fun,https://www.kaggle.com/anshumoudgil,expert,0,2,198,178
huiqin,https://www.kaggle.com/qinhui1999,expert,5,6,104,178
François,https://www.kaggle.com/francoisdubois,expert,10,11,125,177
robga,https://www.kaggle.com/robga,expert,5,6,78,177
Alexander Firsov,https://www.kaggle.com/alexfir,expert,12,18,104,175
Robin Smits,https://www.kaggle.com/rsmits,expert,1,10,169,175
Michael Lopez,https://www.kaggle.com/statsbymichaellopez,expert,5,4,51,173
Gold Retriever,https://www.kaggle.com/tonychenxyz,expert,3,6,87,171
ratan rohith,https://www.kaggle.com/ratan123,expert,1,4,235,171
